NO.;PROGRAM STUDI;KLS;Link LJU
250;D-III PBB/Penilai Alih Program;6-05;gg.gg/lju_d3pbbap_6-05
251;D-IV Akuntansi (REG);7-01;gg.gg/lju_d4aktreg_7-01
252;D-IV Akuntansi (REG);7-02;gg.gg/lju_d4aktreg_7-02
253;D-IV Akuntansi Alih Program (Non AKT);7-01;gg.gg/lju_d4aktapnonakt_7-01
254;D-IV Akuntansi Alih Program (Non AKT);9-01;gg.gg/lju_d4aktapnonakt_9-01
255;D-IV Akuntansi Alih Program (Non AKT);9-02;gg.gg/lju_d4aktapnonakt_9-02
256;D-IV Akuntansi Alih Program (Non AKT);9-03;gg.gg/lju_d4aktapnonakt_9-03
257;D-IV Akuntansi Alih Program (Non AKT);9-04;gg.gg/lju_d4aktapnonakt_9-04
258;D-IV Akuntansi Alih Program (Non AKT);9-05;gg.gg/lju_d4aktapnonakt_9-05
259;D-IV Akuntansi Alih Program (Non AKT);9-06;gg.gg/lju_d4aktapnonakt_9-06
